Start time;Groups;Qualifications;Q30_2;Q38;Q39;Q40;Q41;Q42;Q43;Q44;Q45;Questions
12/8/22 11:29:21;Non experts;7.5;10;7;9;6;8;10;9;9;10;Q30_1
12/11/22 16:39:30;Non experts;7.5;7.5;7;9;7;8;9;9;9;9;Q30_1
12/11/22 18:13:31;Non experts;5;10;7;10;10;10;10;10;10;10;Q30_1
12/11/22 18:28:52;Non experts;7.5;5;3;6;7;5;6;5;5;5;Q30_1
12/11/22 18:36:17;Non experts;5;5;3;8;7;7;8;6;7;3;Q30_1
12/11/22 18:29:03;Musicians;10;5;1;10;10;9;9;10;5;5;Q30_1
12/11/22 21:15:40;Musicians;2.5;7.5;4;4;4;5;6;3;7;8;Q30_1
12/11/22 21:11:36;Non experts;7.5;7.5;3;7;7;9;10;7;5;8;Q30_1
12/11/22 21:49:45;Non experts;5;2.5;2;4;2;6;3;7;6;5;Q30_1
12/12/22 10:19:49;Non experts;7.5;5;7;9;7;7;9;5;5;7;Q30_1
12/12/22 15:59:40;Non experts;7.5;7.5;8;8;8;8;8;8;8;6;Q30_1
12/12/22 17:10:04;Non experts;5;5;4;7;6;7;7;5;6;6;Q30_1
12/12/22 17:43:05;Non experts;5;5;5;5;5;5;10;7;9;5;Q30_1
12/12/22 19:14:27;Non experts;7.5;5;7;7;7;7;7;7;6;7;Q30_1
12/12/22 19:40:37;Non experts;7.5;7.5;4;8;6;8;8;5;7;6;Q30_1
12/12/22 19:53:09;Non experts;7.5;7.5;4;7;4;7;8;4;8;5;Q30_1
12/12/22 20:09:37;Non experts;5;7.5;4;6;3;7;7;5;5;7;Q30_1
12/12/22 21:18:36;Non experts;2.5;5;4;7;7;6;3;7;3;4;Q30_1
12/13/22 18:06:31;Non experts;5;7.5;5;7;7;7;8;6;5;5;Q30_1
12/14/22 13:30:42;Non experts;5;5;3;4;8;6;8;6;7;2;Q30_1
12/14/22 23:48:29;Non experts;7.5;7.5;1;5;5;7;10;3;5;10;Q30_1
12/15/22 18:41:24;Non experts;5;5;4;8;7;8;8;8;6;3;Q30_1
12/15/22 19:22:58;Non experts;7.5;5;6;6;6;6;6;6;6;6;Q30_1
12/15/22 22:01:49;Non experts;7.5;7.5;6;8;7;7;8;7;7;8;Q30_1
12/16/22 0:47:01;Non experts;5;7.5;5;6;8;7;8;6;7;5;Q30_1
12/16/22 10:38:46;Musicians;2.5;10;6;7;7;10;9;7;9;10;Q30_1
12/16/22 13:24:21;Musicians;5;10;6;7;6;10;7;8;5;5;Q30_1
12/17/22 8:41:54;Non experts;0;2.5;8;8;8;5;6;8;4;5;Q30_1
12/18/22 12:12:34;Non experts;5;7.5;5;8;6;10;10;6;8;7;Q30_1
12/18/22 21:15:43;Musicians;7.5;5;5;8;6;8;8;8;8;8;Q30_1
12/19/22 10:26:31;Non experts;7.5;5;2;6;7;4;6;6;4;5;Q30_1
12/19/22 22:28:22;Musicians;7.5;5;7;4;3;6;9;6;3;6;Q30_1
12/20/22 18:18:31;Non experts;5;7.5;3;4;4;5;7;6;4;4;Q30_1
12/21/22 10:52:52;Experts;10;7.5;7;9;7;10;10;5;3;5;Q30_1
12/19/22 17:53:32;Astronomers;5;7.5;6;8;7;8;6;8;6;6;Q30_1
12/29/22 19:01:02;Astronomers;7.5;7.5;7;7;7;8;8;6;5;8;Q30_1
1/15/23 19:11:48;Non experts;2.5;7.5;6;6;7;8;5;9;7;6;Q30_1
1/20/23 13:16:03;Experts;2.5;7.5;5;3;2;7;6;5;4;3;Q30_1
12/15/22 21:13:01;Experts;7.5;10;10;9;6;9;9;8;9;10;Q30_1
12/16/22 17:46:39;Non experts;5;5;3;3;5;7;7;4;6;5;Q30_1
1/19/23 23:16:28;Musicians;5;7.5;4;5;6;7;8;5;2;2;Q30_1
1/19/23 23:18:21;Astronomers;5;10;6;8;3;9;10;5;4;6;Q30_1
1/22/23 23:24:03;Musicians;2.5;7.5;6;5;8;8;8;8;6;7;Q30_1
12/15/22 21:19:13;Experts;7.5;5;7;8;3;7;6;7;8;10;Q30_1
1/18/23 17:01:54;Musicians;5;5;6;8;7;7;9;8;5;8;Q30_1
1/18/23 17:38:19;Musicians;2.5;7.5;2;5;5;6;7;5;7;7;Q30_1
12/8/22 11:29:21;Non experts;10;;7;9;6;8;10;9;9;10;Q30_2
12/11/22 16:39:30;Non experts;7.5;;7;9;7;8;9;9;9;9;Q30_2
12/11/22 18:13:31;Non experts;10;;7;10;10;10;10;10;10;10;Q30_2
12/11/22 18:28:52;Non experts;5;;3;6;7;5;6;5;5;5;Q30_2
12/11/22 18:36:17;Non experts;5;;3;8;7;7;8;6;7;3;Q30_2
12/11/22 18:29:03;Musicians;5;;1;10;10;9;9;10;5;5;Q30_2
12/11/22 21:15:40;Musicians;7.5;;4;4;4;5;6;3;7;8;Q30_2
12/11/22 21:11:36;Non experts;7.5;;3;7;7;9;10;7;5;8;Q30_2
12/11/22 21:49:45;Non experts;2.5;;2;4;2;6;3;7;6;5;Q30_2
12/12/22 10:19:49;Non experts;5;;7;9;7;7;9;5;5;7;Q30_2
12/12/22 15:59:40;Non experts;7.5;;8;8;8;8;8;8;8;6;Q30_2
12/12/22 17:10:04;Non experts;5;;4;7;6;7;7;5;6;6;Q30_2
12/12/22 17:43:05;Non experts;5;;5;5;5;5;10;7;9;5;Q30_2
12/12/22 19:14:27;Non experts;5;;7;7;7;7;7;7;6;7;Q30_2
12/12/22 19:40:37;Non experts;7.5;;4;8;6;8;8;5;7;6;Q30_2
12/12/22 19:53:09;Non experts;7.5;;4;7;4;7;8;4;8;5;Q30_2
12/12/22 20:09:37;Non experts;7.5;;4;6;3;7;7;5;5;7;Q30_2
12/12/22 21:18:36;Non experts;5;;4;7;7;6;3;7;3;4;Q30_2
12/13/22 18:06:31;Non experts;7.5;;5;7;7;7;8;6;5;5;Q30_2
12/14/22 13:30:42;Non experts;5;;3;4;8;6;8;6;7;2;Q30_2
12/14/22 23:48:29;Non experts;7.5;;1;5;5;7;10;3;5;10;Q30_2
12/15/22 18:41:24;Non experts;5;;4;8;7;8;8;8;6;3;Q30_2
12/15/22 19:22:58;Non experts;5;;6;6;6;6;6;6;6;6;Q30_2
12/15/22 22:01:49;Non experts;7.5;;6;8;7;7;8;7;7;8;Q30_2
12/16/22 0:47:01;Non experts;7.5;;5;6;8;7;8;6;7;5;Q30_2
12/16/22 10:38:46;Musicians;10;;6;7;7;10;9;7;9;10;Q30_2
12/16/22 13:24:21;Musicians;10;;6;7;6;10;7;8;5;5;Q30_2
12/17/22 8:41:54;Non experts;2.5;;8;8;8;5;6;8;4;5;Q30_2
12/18/22 12:12:34;Non experts;7.5;;5;8;6;10;10;6;8;7;Q30_2
12/18/22 21:15:43;Musicians;5;;5;8;6;8;8;8;8;8;Q30_2
12/19/22 10:26:31;Non experts;5;;2;6;7;4;6;6;4;5;Q30_2
12/19/22 22:28:22;Musicians;5;;7;4;3;6;9;6;3;6;Q30_2
12/20/22 18:18:31;Non experts;7.5;;3;4;4;5;7;6;4;4;Q30_2
12/21/22 10:52:52;Experts;7.5;;7;9;7;10;10;5;3;5;Q30_2
12/19/22 17:53:32;Astronomers;7.5;;6;8;7;8;6;8;6;6;Q30_2
12/29/22 19:01:02;Astronomers;7.5;;7;7;7;8;8;6;5;8;Q30_2
1/15/23 19:11:48;Non experts;7.5;;6;6;7;8;5;9;7;6;Q30_2
1/20/23 13:16:03;Experts;7.5;;5;3;2;7;6;5;4;3;Q30_2
12/15/22 21:13:01;Experts;10;;10;9;6;9;9;8;9;10;Q30_2
12/16/22 17:46:39;Non experts;5;;3;3;5;7;7;4;6;5;Q30_2
1/19/23 23:16:28;Musicians;7.5;;4;5;6;7;8;5;2;2;Q30_2
1/19/23 23:18:21;Astronomers;10;;6;8;3;9;10;5;4;6;Q30_2
1/22/23 23:24:03;Musicians;7.5;;6;5;8;8;8;8;6;7;Q30_2
12/15/22 21:19:13;Experts;5;;7;8;3;7;6;7;8;10;Q30_2
1/18/23 17:01:54;Musicians;5;;6;8;7;7;9;8;5;8;Q30_2
1/18/23 17:38:19;Musicians;7.5;;2;5;5;6;7;5;7;7;Q30_2
12/8/22 11:29:21;Non experts;7;10;;9;6;8;10;9;9;10;Q38
12/11/22 16:39:30;Non experts;7;7.5;;9;7;8;9;9;9;9;Q38
12/11/22 18:13:31;Non experts;7;10;;10;10;10;10;10;10;10;Q38
12/11/22 18:28:52;Non experts;3;5;;6;7;5;6;5;5;5;Q38
12/11/22 18:36:17;Non experts;3;5;;8;7;7;8;6;7;3;Q38
12/11/22 18:29:03;Musicians;1;5;;10;10;9;9;10;5;5;Q38
12/11/22 21:15:40;Musicians;4;7.5;;4;4;5;6;3;7;8;Q38
12/11/22 21:11:36;Non experts;3;7.5;;7;7;9;10;7;5;8;Q38
12/11/22 21:49:45;Non experts;2;2.5;;4;2;6;3;7;6;5;Q38
12/12/22 10:19:49;Non experts;7;5;;9;7;7;9;5;5;7;Q38
12/12/22 15:59:40;Non experts;8;7.5;;8;8;8;8;8;8;6;Q38
12/12/22 17:10:04;Non experts;4;5;;7;6;7;7;5;6;6;Q38
12/12/22 17:43:05;Non experts;5;5;;5;5;5;10;7;9;5;Q38
12/12/22 19:14:27;Non experts;7;5;;7;7;7;7;7;6;7;Q38
12/12/22 19:40:37;Non experts;4;7.5;;8;6;8;8;5;7;6;Q38
12/12/22 19:53:09;Non experts;4;7.5;;7;4;7;8;4;8;5;Q38
12/12/22 20:09:37;Non experts;4;7.5;;6;3;7;7;5;5;7;Q38
12/12/22 21:18:36;Non experts;4;5;;7;7;6;3;7;3;4;Q38
12/13/22 18:06:31;Non experts;5;7.5;;7;7;7;8;6;5;5;Q38
12/14/22 13:30:42;Non experts;3;5;;4;8;6;8;6;7;2;Q38
12/14/22 23:48:29;Non experts;1;7.5;;5;5;7;10;3;5;10;Q38
12/15/22 18:41:24;Non experts;4;5;;8;7;8;8;8;6;3;Q38
12/15/22 19:22:58;Non experts;6;5;;6;6;6;6;6;6;6;Q38
12/15/22 22:01:49;Non experts;6;7.5;;8;7;7;8;7;7;8;Q38
12/16/22 0:47:01;Non experts;5;7.5;;6;8;7;8;6;7;5;Q38
12/16/22 10:38:46;Musicians;6;10;;7;7;10;9;7;9;10;Q38
12/16/22 13:24:21;Musicians;6;10;;7;6;10;7;8;5;5;Q38
12/17/22 8:41:54;Non experts;8;2.5;;8;8;5;6;8;4;5;Q38
12/18/22 12:12:34;Non experts;5;7.5;;8;6;10;10;6;8;7;Q38
12/18/22 21:15:43;Musicians;5;5;;8;6;8;8;8;8;8;Q38
12/19/22 10:26:31;Non experts;2;5;;6;7;4;6;6;4;5;Q38
12/19/22 22:28:22;Musicians;7;5;;4;3;6;9;6;3;6;Q38
12/20/22 18:18:31;Non experts;3;7.5;;4;4;5;7;6;4;4;Q38
12/21/22 10:52:52;Experts;7;7.5;;9;7;10;10;5;3;5;Q38
12/19/22 17:53:32;Astronomers;6;7.5;;8;7;8;6;8;6;6;Q38
12/29/22 19:01:02;Astronomers;7;7.5;;7;7;8;8;6;5;8;Q38
1/15/23 19:11:48;Non experts;6;7.5;;6;7;8;5;9;7;6;Q38
1/20/23 13:16:03;Experts;5;7.5;;3;2;7;6;5;4;3;Q38
12/15/22 21:13:01;Experts;10;10;;9;6;9;9;8;9;10;Q38
12/16/22 17:46:39;Non experts;3;5;;3;5;7;7;4;6;5;Q38
1/19/23 23:16:28;Musicians;4;7.5;;5;6;7;8;5;2;2;Q38
1/19/23 23:18:21;Astronomers;6;10;;8;3;9;10;5;4;6;Q38
1/22/23 23:24:03;Musicians;6;7.5;;5;8;8;8;8;6;7;Q38
12/15/22 21:19:13;Experts;7;5;;8;3;7;6;7;8;10;Q38
1/18/23 17:01:54;Musicians;6;5;;8;7;7;9;8;5;8;Q38
1/18/23 17:38:19;Musicians;2;7.5;;5;5;6;7;5;7;7;Q38
12/8/22 11:29:21;Non experts;9;10;7;;6;8;10;9;9;10;Q39
12/11/22 16:39:30;Non experts;9;7.5;7;;7;8;9;9;9;9;Q39
12/11/22 18:13:31;Non experts;10;10;7;;10;10;10;10;10;10;Q39
12/11/22 18:28:52;Non experts;6;5;3;;7;5;6;5;5;5;Q39
12/11/22 18:36:17;Non experts;8;5;3;;7;7;8;6;7;3;Q39
12/11/22 18:29:03;Musicians;10;5;1;;10;9;9;10;5;5;Q39
12/11/22 21:15:40;Musicians;4;7.5;4;;4;5;6;3;7;8;Q39
12/11/22 21:11:36;Non experts;7;7.5;3;;7;9;10;7;5;8;Q39
12/11/22 21:49:45;Non experts;4;2.5;2;;2;6;3;7;6;5;Q39
12/12/22 10:19:49;Non experts;9;5;7;;7;7;9;5;5;7;Q39
12/12/22 15:59:40;Non experts;8;7.5;8;;8;8;8;8;8;6;Q39
12/12/22 17:10:04;Non experts;7;5;4;;6;7;7;5;6;6;Q39
12/12/22 17:43:05;Non experts;5;5;5;;5;5;10;7;9;5;Q39
12/12/22 19:14:27;Non experts;7;5;7;;7;7;7;7;6;7;Q39
12/12/22 19:40:37;Non experts;8;7.5;4;;6;8;8;5;7;6;Q39
12/12/22 19:53:09;Non experts;7;7.5;4;;4;7;8;4;8;5;Q39
12/12/22 20:09:37;Non experts;6;7.5;4;;3;7;7;5;5;7;Q39
12/12/22 21:18:36;Non experts;7;5;4;;7;6;3;7;3;4;Q39
12/13/22 18:06:31;Non experts;7;7.5;5;;7;7;8;6;5;5;Q39
12/14/22 13:30:42;Non experts;4;5;3;;8;6;8;6;7;2;Q39
12/14/22 23:48:29;Non experts;5;7.5;1;;5;7;10;3;5;10;Q39
12/15/22 18:41:24;Non experts;8;5;4;;7;8;8;8;6;3;Q39
12/15/22 19:22:58;Non experts;6;5;6;;6;6;6;6;6;6;Q39
12/15/22 22:01:49;Non experts;8;7.5;6;;7;7;8;7;7;8;Q39
12/16/22 0:47:01;Non experts;6;7.5;5;;8;7;8;6;7;5;Q39
12/16/22 10:38:46;Musicians;7;10;6;;7;10;9;7;9;10;Q39
12/16/22 13:24:21;Musicians;7;10;6;;6;10;7;8;5;5;Q39
12/17/22 8:41:54;Non experts;8;2.5;8;;8;5;6;8;4;5;Q39
12/18/22 12:12:34;Non experts;8;7.5;5;;6;10;10;6;8;7;Q39
12/18/22 21:15:43;Musicians;8;5;5;;6;8;8;8;8;8;Q39
12/19/22 10:26:31;Non experts;6;5;2;;7;4;6;6;4;5;Q39
12/19/22 22:28:22;Musicians;4;5;7;;3;6;9;6;3;6;Q39
12/20/22 18:18:31;Non experts;4;7.5;3;;4;5;7;6;4;4;Q39
12/21/22 10:52:52;Experts;9;7.5;7;;7;10;10;5;3;5;Q39
12/19/22 17:53:32;Astronomers;8;7.5;6;;7;8;6;8;6;6;Q39
12/29/22 19:01:02;Astronomers;7;7.5;7;;7;8;8;6;5;8;Q39
1/15/23 19:11:48;Non experts;6;7.5;6;;7;8;5;9;7;6;Q39
1/20/23 13:16:03;Experts;3;7.5;5;;2;7;6;5;4;3;Q39
12/15/22 21:13:01;Experts;9;10;10;;6;9;9;8;9;10;Q39
12/16/22 17:46:39;Non experts;3;5;3;;5;7;7;4;6;5;Q39
1/19/23 23:16:28;Musicians;5;7.5;4;;6;7;8;5;2;2;Q39
1/19/23 23:18:21;Astronomers;8;10;6;;3;9;10;5;4;6;Q39
1/22/23 23:24:03;Musicians;5;7.5;6;;8;8;8;8;6;7;Q39
12/15/22 21:19:13;Experts;8;5;7;;3;7;6;7;8;10;Q39
1/18/23 17:01:54;Musicians;8;5;6;;7;7;9;8;5;8;Q39
1/18/23 17:38:19;Musicians;5;7.5;2;;5;6;7;5;7;7;Q39
12/8/22 11:29:21;Non experts;6;10;7;9;;8;10;9;9;10;Q40
12/11/22 16:39:30;Non experts;7;7.5;7;9;;8;9;9;9;9;Q40
12/11/22 18:13:31;Non experts;10;10;7;10;;10;10;10;10;10;Q40
12/11/22 18:28:52;Non experts;7;5;3;6;;5;6;5;5;5;Q40
12/11/22 18:36:17;Non experts;7;5;3;8;;7;8;6;7;3;Q40
12/11/22 18:29:03;Musicians;10;5;1;10;;9;9;10;5;5;Q40
12/11/22 21:15:40;Musicians;4;7.5;4;4;;5;6;3;7;8;Q40
12/11/22 21:11:36;Non experts;7;7.5;3;7;;9;10;7;5;8;Q40
12/11/22 21:49:45;Non experts;2;2.5;2;4;;6;3;7;6;5;Q40
12/12/22 10:19:49;Non experts;7;5;7;9;;7;9;5;5;7;Q40
12/12/22 15:59:40;Non experts;8;7.5;8;8;;8;8;8;8;6;Q40
12/12/22 17:10:04;Non experts;6;5;4;7;;7;7;5;6;6;Q40
12/12/22 17:43:05;Non experts;5;5;5;5;;5;10;7;9;5;Q40
12/12/22 19:14:27;Non experts;7;5;7;7;;7;7;7;6;7;Q40
12/12/22 19:40:37;Non experts;6;7.5;4;8;;8;8;5;7;6;Q40
12/12/22 19:53:09;Non experts;4;7.5;4;7;;7;8;4;8;5;Q40
12/12/22 20:09:37;Non experts;3;7.5;4;6;;7;7;5;5;7;Q40
12/12/22 21:18:36;Non experts;7;5;4;7;;6;3;7;3;4;Q40
12/13/22 18:06:31;Non experts;7;7.5;5;7;;7;8;6;5;5;Q40
12/14/22 13:30:42;Non experts;8;5;3;4;;6;8;6;7;2;Q40
12/14/22 23:48:29;Non experts;5;7.5;1;5;;7;10;3;5;10;Q40
12/15/22 18:41:24;Non experts;7;5;4;8;;8;8;8;6;3;Q40
12/15/22 19:22:58;Non experts;6;5;6;6;;6;6;6;6;6;Q40
12/15/22 22:01:49;Non experts;7;7.5;6;8;;7;8;7;7;8;Q40
12/16/22 0:47:01;Non experts;8;7.5;5;6;;7;8;6;7;5;Q40
12/16/22 10:38:46;Musicians;7;10;6;7;;10;9;7;9;10;Q40
12/16/22 13:24:21;Musicians;6;10;6;7;;10;7;8;5;5;Q40
12/17/22 8:41:54;Non experts;8;2.5;8;8;;5;6;8;4;5;Q40
12/18/22 12:12:34;Non experts;6;7.5;5;8;;10;10;6;8;7;Q40
12/18/22 21:15:43;Musicians;6;5;5;8;;8;8;8;8;8;Q40
12/19/22 10:26:31;Non experts;7;5;2;6;;4;6;6;4;5;Q40
12/19/22 22:28:22;Musicians;3;5;7;4;;6;9;6;3;6;Q40
12/20/22 18:18:31;Non experts;4;7.5;3;4;;5;7;6;4;4;Q40
12/21/22 10:52:52;Experts;7;7.5;7;9;;10;10;5;3;5;Q40
12/19/22 17:53:32;Astronomers;7;7.5;6;8;;8;6;8;6;6;Q40
12/29/22 19:01:02;Astronomers;7;7.5;7;7;;8;8;6;5;8;Q40
1/15/23 19:11:48;Non experts;7;7.5;6;6;;8;5;9;7;6;Q40
1/20/23 13:16:03;Experts;2;7.5;5;3;;7;6;5;4;3;Q40
12/15/22 21:13:01;Experts;6;10;10;9;;9;9;8;9;10;Q40
12/16/22 17:46:39;Non experts;5;5;3;3;;7;7;4;6;5;Q40
1/19/23 23:16:28;Musicians;6;7.5;4;5;;7;8;5;2;2;Q40
1/19/23 23:18:21;Astronomers;3;10;6;8;;9;10;5;4;6;Q40
